ÖSYM Program Kodu,Üniversite Türü,Üniversite,Fakülte / Yüksekokul,Puan Türü,Burs Türü,Genel Kontenjan,Okul Birincisi Kontenjanı,Toplam Kontenjan,Genel Kontenjana Yerleşen,Okul Birincisi Kontenjanına Yerleşen,Toplam Yerleşen,Boş Kalan Kontenjan,İlk Yerleşme Oranı,Yerleşip Kayıt Yaptırmayan,Ek Yerleşen,,,,"0,12 Katsayı ile Yerleşen Son Kişinin Başarı Sırası","0,12 + 0,06 Katsayı ile Yerleşen Son Kişinin Başarı Sırası",2018'de Yerleşip 2019'de OBP'si Kırılarak Yerleşen Sayısı,Yerleşenlerin Ortalama OBP'si,Yerleşenlerin Ortalama Diploma Notu
202911249,Vakıf,ALTINBAŞ ÜNİVERSİTESİ ,Mühendislik ve Doğa Bilimleri Fakültesi,SAY,Burslu,4,---,4,4,---,4,---,"% 100,0",---,---,"355,00193",---,"379,13554",105.889,---,---,"395,763","79,2"
202911258,Vakıf,ALTINBAŞ ÜNİVERSİTESİ ,Mühendislik ve Doğa Bilimleri Fakültesi,SAY,%50 İndirimli,26,---,26,2,---,2,24,"% 7,7",---,---,Dolmadı,---,"283,51061",Dolmadı,---,---,"408,450","81,7"
202910172,Vakıf,ALTINBAŞ ÜNİVERSİTESİ ,Mühendislik ve Doğa Bilimleri Fakültesi,SAY,Burslu,4,---,4,4,---,4,---,"% 100,0",1,---,"389,99801",---,"395,75863",72.781,---,---,"463,800","92,8"
202910727,Vakıf,ALTINBAŞ ÜNİVERSİTESİ ,Mühendislik ve Doğa Bilimleri Fakültesi,SAY,%50 İndirimli,26,---,26,2,---,2,24,"% 7,7",---,---,Dolmadı,---,"291,44092",Dolmadı,---,---,"424,575","84,9"
206410465,Vakıf,ANTALYA BİLİM ÜNİVERSİTESİ ,Güzel Sanatlar ve Mimarlık Fakültesi,SAY,Burslu,6,---,6,6,---,6,---,"% 100,0",---,---,"383,24302",---,"409,65826",78.493,---,---,"434,825","87,0"
206410483,Vakıf,ANTALYA BİLİM ÜNİVERSİTESİ ,Güzel Sanatlar ve Mimarlık Fakültesi,SAY,%50 İndirimli,38,---,38,26,---,26,12,"% 68,4",---,1,Dolmadı,---,"346,51272",Dolmadı,---,3,"417,663","83,5"
206410492,Vakıf,ANTALYA BİLİM ÜNİVERSİTESİ ,Güzel Sanatlar ve Mimarlık Fakültesi,SAY,%25 İndirimli,16,---,16,0,---,---,16,"% 0,0",---,---,---,---,---,Dolmadı,---,---,---,---
200210731,Vakıf,ATILIM ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,Ücretli,20,---,20,2,---,2,18,"% 10,0",---,---,Dolmadı,---,"281,63462",Dolmadı,---,---,"406,350","81,3"
200210749,Vakıf,ATILIM ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,Burslu,6,---,6,6,---,6,---,"% 100,0",---,---,"391,55781",---,"406,85746",71.523,---,1,"438,550","87,7"
200210846,Vakıf,ATILIM ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,%50 İndirimli,6,---,6,6,---,6,---,"% 100,0",---,---,"340,80865",---,"352,82247",122.353,---,---,"438,825","87,8"
200210873,Vakıf,ATILIM ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,%25 İndirimli,28,---,28,5,---,5,23,"% 17,9",---,---,Dolmadı,---,"325,63691",Dolmadı,---,---,"424,070","84,8"
200310078,Vakıf,AVRASYA ÜNİVERSİTESİ ,Mühendislik ve Mimarlık Fakültesi,SAY,Ücretli,36,---,36,2,---,2,34,"% 5,6",---,---,Dolmadı,---,"284,51149",Dolmadı,---,---,"421,800","84,4"
200310087,Vakıf,AVRASYA ÜNİVERSİTESİ ,Mühendislik ve Mimarlık Fakültesi,SAY,Burslu,4,---,4,4,---,4,---,"% 100,0",1,---,"333,92121",---,"365,82235",131.413,---,1,"427,788","85,6"
200510401,Vakıf,BAHÇEŞEHİR ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Ücretli,45,---,45,28,---,28,17,"% 62,2",1,1,Dolmadı,---,"328,50138",Dolmadı,---,---,"431,595","86,3"
200510419,Vakıf,BAHÇEŞEHİR ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,Burslu,9,---,9,9,---,9,---,"% 100,0",---,---,"429,24021",---,"453,82332",43.498,---,1,"446,472","89,3"
200510676,Vakıf,BAHÇEŞEHİR ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,%50 İndirimli,18,---,18,18,---,18,---,"% 100,0",---,---,"350,24626",---,"387,69794",111.184,---,---,"442,400","88,5"
200511426,Vakıf,BAHÇEŞEHİR ÜNİVERSİTESİ ,Mimarlık ve Tasarım Fakültesi,SAY,%25 İndirimli,18,---,18,18,---,18,---,"% 100,0",2,---,"299,78863",---,"346,11092",189.489,---,---,"428,469","85,7"
200611682,Vakıf,BAŞKENT ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,Ücretli,26,---,26,3,---,3,23,"% 11,5",1,---,Dolmadı,---,"296,37667",Dolmadı,---,---,"429,667","85,9"
200611691,Vakıf,BAŞKENT ÜNİVERSİTESİ ,Güzel Sanatlar Tasarım ve Mimarlık Fakültesi,SAY,Burslu,6,---,6,6,---,6,---,"% 100,0",---,---,"414,63217",---,"433,59648",53.653,---,---,"447,317","89,5"
